num_game,winners,num_cards_until_end,first_mid
0,"[2, 4, 5]",51,[1]
0,[4],49,[1]
0,[1],50,[2]
0,[2],48,[4]
0,[0],41,[5]
0,"[6, 7]",51,[5]
0,[1],48,[4]
0,[0],47,[5]
0,[5],50,[4]
0,[7],49,[2]
0,[1],46,"[0, 5]"
0,[5],47,[6]
0,[6],50,[3]
0,[0],39,[0]
0,"[0, 5]",52,[0]
0,[4],46,[7]
0,[5],47,[2]
0,[4],51,[4]
0,[4],47,[2]
0,[4],44,[3]
0,"[4, 5]",49,[4]
0,[4],51,[0]
0,[0],47,[0]
0,[2],45,[4]
0,[2],42,[1]
0,"[0, 1]",50,"[1, 2]"
0,[0],45,[6]
0,"[2, 5]",47,[0]
0,[0],47,[4]
0,[1],50,"[2, 5]"
0,[0],49,[0]
0,[4],47,[0]
0,[3],46,[3]
0,[7],50,[3]
0,[6],44,"[0, 5]"
0,"[2, 3, 7]",50,[1]
0,[1],47,[3]
0,[0],46,[6]
0,[2],50,[3]
0,[7],45,[1]
0,[7],49,[7]
0,"[0, 6]",49,[2]
0,[5],51,[4]
0,[3],51,[7]
0,[7],44,[0]
0,[3],47,[3]
0,[3],50,[3]
0,[5],49,[4]
0,[2],46,[4]
0,[7],46,[2]
0,[4],47,[4]
0,[1],48,[5]
0,[5],45,[2]
0,[7],47,[0]
0,[3],48,[1]
0,[5],46,[1]
0,[7],47,[1]
0,[4],48,[0]
0,[1],51,"[0, 6]"
0,[5],48,[4]
0,"[3, 6]",50,[3]
0,[3],45,[2]
0,[0],48,"[4, 7]"
0,[5],50,[6]
0,[2],46,"[3, 4]"
0,[4],50,[5]
0,[1],43,[7]
0,[0],47,[3]
0,[3],47,[5]
0,[4],47,[7]
0,[1],48,[7]
0,[4],46,"[0, 2]"
0,[0],41,[1]
0,[4],40,[3]
0,[1],42,[3]
0,[4],47,[4]
0,[0],40,[6]
0,[3],44,[1]
0,[0],44,[7]
0,[2],49,[4]
0,[3],50,[2]
0,[7],46,[3]
0,[2],50,[0]
0,[5],47,[3]
0,[4],46,[5]
0,[5],48,[1]
0,[5],52,[5]
0,[1],42,[7]
0,[0],50,[3]
0,[5],44,[2]
0,[3],47,[7]
0,"[6, 7]",50,[0]
0,[7],46,[0]
0,[2],45,[6]
0,[5],48,[5]
0,[4],45,[0]
0,[7],47,[3]
0,[7],45,[7]
0,[6],49,[6]
0,"[4, 6]",51,[0]
1,"[3, 5]",50,[1]
1,[2],42,[7]
1,"[0, 7]",49,[4]
1,"[3, 6, 7]",50,[6]
1,[6],46,"[6, 7]"
1,[0],41,[0]
1,[5],52,"[0, 4]"
1,[4],48,[0]
1,[6],48,[1]
1,[1],46,[1]
1,[7],45,[4]
1,[4],49,[4]
1,[5],50,[1]
1,[2],43,"[2, 6]"
1,[3],46,[5]
1,[5],44,"[5, 7]"
1,[3],48,[5]
1,[3],44,[7]
1,[5],45,[1]
1,[5],47,[2]
1,[4],51,[6]
1,"[2, 4]",51,[2]
1,"[1, 4]",50,[7]
1,"[2, 5]",52,[5]
1,[0],45,[7]
1,[1],47,[3]
1,[3],48,[7]
1,[5],47,[1]
1,[1],47,[1]
1,[3],47,[1]
1,"[1, 6]",44,"[6, 7]"
1,[1],46,[6]
1,[0],43,[0]
1,[6],46,[6]
1,[4],50,[6]
1,[4],47,"[2, 3]"
1,[3],47,[2]
1,[0],46,[7]
1,[0],42,[7]
1,[6],46,[7]
1,[5],49,[7]
1,[5],50,[1]
1,"[1, 7]",49,[0]
1,[7],46,[5]
1,"[2, 4]",50,"[0, 7]"
1,[0],46,[7]
1,"[1, 6]",52,[5]
1,[0],50,[3]
1,"[1, 3, 6, 7]",53,"[2, 5]"
1,[3],47,[3]
1,[6],46,[0]
1,[2],45,[2]
1,"[2, 3]",47,[2]
1,"[1, 2, 3, 4]",53,[2]
1,[7],50,[4]
1,[7],50,[1]
1,[0],46,[2]
1,[0],47,[0]
1,[3],50,[3]
1,[4],49,"[0, 7]"
1,[0],49,[2]
1,[0],45,[1]
1,[4],46,[3]
1,"[1, 6]",48,[1]
1,[1],49,[2]
1,[1],42,[5]
1,[0],47,[3]
1,[7],48,[4]
1,[7],39,[7]
1,"[2, 5]",50,"[2, 4]"
1,[3],46,"[1, 6]"
1,"[2, 5]",49,[7]
1,[7],47,[7]
1,[6],47,[6]
1,[1],52,[1]
1,"[0, 5]",47,[2]
1,[1],50,[7]
1,[3],44,[6]
1,[5],49,"[2, 5]"
1,[2],42,[2]
1,"[0, 4, 6]",49,[3]
1,[5],48,"[1, 4, 6]"
1,[5],51,[0]
1,[0],47,[3]
1,[2],48,[2]
1,[5],43,[2]
1,[7],46,[7]
