num_game,winners,num_cards_until_end,first_mid
0,[18],39,[16]
0,"[9, 21]",47,[19]
0,[21],42,[19]
0,[7],48,[11]
0,[19],47,[7]
0,"[12, 14]",47,[4]
0,[16],44,[16]
0,[9],42,[12]
0,[12],45,[12]
0,[17],48,[3]
0,[6],48,[9]
0,[1],42,[2]
0,[3],49,[4]
0,"[6, 13]",44,[18]
0,[14],45,[8]
0,[9],45,[1]
0,[9],40,[1]
0,[4],39,[11]
0,[10],45,[12]
0,[17],48,[0]
0,[2],48,"[3, 19]"
0,"[3, 5, 16]",49,"[3, 21]"
0,"[16, 21]",48,"[3, 16]"
0,"[6, 12]",48,"[3, 5]"
0,[17],46,[7]
0,[8],43,[8]
0,[1],40,"[3, 21]"
0,[6],49,[12]
0,[21],48,[6]
0,[0],47,[6]
0,[19],44,[4]
0,[7],43,[0]
0,[17],47,[17]
0,[7],49,[18]
0,"[10, 20]",47,[3]
0,[6],49,[6]
0,[12],45,[15]
0,[12],43,"[13, 17]"
0,[10],44,[7]
0,[14],43,[12]
0,[9],39,[9]
0,[7],47,[8]
0,[11],43,[5]
0,[20],47,[20]
0,"[1, 10]",46,[17]
0,[11],38,[12]
0,[1],47,[12]
0,[7],46,[20]
0,[14],42,[11]
0,[6],44,[6]
0,[16],47,[3]
0,[0],46,[6]
0,[7],38,"[2, 5, 7]"
0,[3],42,[0]
0,[7],44,[7]
0,[8],49,[14]
0,"[7, 9]",47,[14]
0,[1],43,[7]
0,"[9, 10, 20]",48,[14]
0,[6],40,"[9, 17]"
0,[9],43,[5]
0,[3],38,[3]
0,[17],47,[7]
0,[15],42,"[2, 14]"
0,[11],47,[17]
0,"[9, 16]",48,[8]
0,[1],47,[16]
0,[0],47,[19]
0,[6],47,[12]
0,[7],47,"[0, 7]"
0,"[16, 21]",46,"[6, 13]"
0,"[9, 19, 21]",48,[7]
0,[21],42,[2]
0,"[1, 13]",47,[2]
0,[7],42,[17]
0,[20],48,"[1, 3, 15, 20]"
0,[3],42,[10]
0,[21],43,[19]
0,[3],40,[19]
0,[11],48,[7]
0,[8],46,[20]
0,[17],44,[6]
0,[7],48,[13]
0,[5],46,"[6, 18]"
0,[21],49,[15]
0,[5],47,[20]
0,[2],45,"[0, 12]"
0,[19],44,[10]
0,[16],44,[8]
0,[21],45,"[8, 21]"
0,[9],44,[5]
0,[8],49,[14]
0,[2],43,[18]
0,[15],45,"[12, 17]"
0,[0],34,[0]
0,[2],45,[21]
0,[13],45,[7]
0,[6],48,[20]
0,[9],44,[9]
0,[13],46,[13]
1,"[14, 17]",46,[1]
1,"[2, 11]",49,[4]
1,[10],47,[6]
1,[7],45,[10]
1,[5],43,[20]
1,"[1, 4]",47,[18]
1,[15],47,[20]
1,[9],47,[11]
1,[0],44,[1]
1,[6],44,"[6, 16, 20]"
1,[3],43,[13]
1,[5],48,[14]
1,[1],44,[14]
1,"[0, 15]",50,"[5, 6]"
1,[17],44,[9]
1,[4],44,[16]
1,[21],49,"[0, 1]"
1,[19],44,[7]
1,[14],46,[3]
1,[12],47,[14]
1,[14],46,[3]
1,[8],46,[8]
1,[18],41,[20]
1,[11],47,[9]
1,"[4, 17]",49,[17]
1,[6],44,"[2, 5, 6]"
1,"[4, 12, 13]",48,[1]
1,[8],49,[15]
1,[11],41,"[2, 19]"
1,[12],46,[2]
1,[13],45,[14]
1,[12],47,"[10, 16]"
1,[17],45,[6]
1,[2],46,[20]
1,[10],45,[11]
1,[12],43,[0]
1,[7],48,[12]
1,[7],43,[17]
1,[7],46,[21]
1,[2],47,[19]
1,[15],47,[11]
1,[20],43,[18]
