num_game,winners,num_cards_until_end,first_mid
0,[0],44,[0]
0,"[2, 4]",50,[7]
0,[4],46,[1]
0,[6],45,[4]
0,[14],46,[7]
0,"[0, 7, 15]",50,[6]
0,[0],47,[10]
0,[14],47,[8]
0,[10],44,[1]
0,[12],46,"[11, 14]"
0,[4],45,[18]
0,[7],48,[14]
0,[1],48,"[1, 7]"
0,[3],48,[3]
0,[14],43,[3]
0,[7],47,[12]
0,[16],44,[5]
0,[8],45,"[8, 18]"
0,[8],49,[7]
0,[9],48,[16]
0,[1],45,[1]
0,[8],49,[7]
0,[7],42,"[7, 18]"
0,[13],46,"[0, 3]"
0,[11],42,[11]
0,[14],46,[14]
0,"[0, 7]",44,[7]
0,"[6, 17]",43,[16]
0,"[4, 8]",47,[14]
0,[16],48,[15]
0,[13],43,[8]
0,"[2, 15]",47,"[0, 2]"
0,[8],41,[18]
0,[1],41,[1]
0,[0],38,[7]
0,[7],47,[1]
0,[3],44,"[2, 10]"
0,[7],43,[10]
0,[0],41,[5]
0,[2],46,[4]
0,[8],45,[11]
0,[6],47,[0]
0,[5],47,[3]
0,[4],47,[0]
0,"[3, 7]",49,[13]
0,[3],42,[3]
0,[9],47,[16]
0,"[7, 16]",49,[4]
0,[0],45,[0]
0,[17],46,[5]
0,[3],47,[18]
0,[0],44,[3]
0,[10],43,[11]
0,[6],46,[14]
0,[11],46,[18]
0,"[6, 9]",46,[8]
0,[1],44,[1]
0,"[0, 2, 13]",49,[8]
0,[4],45,[12]
0,[3],40,[17]
0,[15],49,[5]
0,[9],41,[16]
0,[14],46,[18]
0,[14],47,[0]
0,"[2, 15]",49,[3]
0,[5],48,[15]
0,[14],37,"[0, 5, 7]"
0,[7],45,"[7, 16]"
0,[16],46,[0]
0,[9],40,"[9, 17]"
0,[17],45,[0]
0,[13],44,[2]
0,"[0, 4, 15]",49,[8]
0,[4],49,[10]
0,"[10, 18]",50,[3]
0,[18],43,[16]
0,[7],47,"[0, 7]"
0,[16],46,[17]
0,[10],41,[18]
0,[1],42,[13]
0,[5],48,[3]
0,"[3, 17]",48,[3]
0,[8],49,[8]
0,[15],44,[5]
0,[11],47,[8]
0,[7],43,[9]
0,[2],47,[17]
0,[8],47,[8]
0,[5],48,[6]
0,[9],41,[3]
0,"[1, 8]",48,[13]
0,[13],49,"[3, 5]"
0,[0],47,"[2, 15]"
0,[12],48,"[1, 9]"
0,[15],47,[15]
0,[14],49,"[9, 11]"
0,"[4, 10]",47,[4]
0,[18],42,"[6, 13]"
0,[18],42,[5]
0,[10],45,[2]
1,"[3, 5]",50,"[0, 8]"
1,[13],44,[3]
1,[16],44,[12]
1,[8],44,[8]
1,[2],45,[2]
1,"[3, 16]",46,[5]
1,[2],47,[7]
1,[15],49,"[2, 13]"
1,[1],43,[9]
1,"[8, 14]",48,[3]
1,[2],47,[10]
1,[1],44,[18]
1,[6],46,[18]
1,[17],45,[3]
1,[10],39,[10]
1,[0],45,[2]
1,[11],48,"[10, 17]"
1,[8],44,[15]
1,[5],46,[17]
1,[13],46,[2]
1,[16],35,"[8, 16]"
1,"[1, 16]",50,[1]
1,[15],44,[7]
1,[9],45,[7]
1,"[3, 14]",46,[1]
1,[11],39,[11]
