num_game,winners,num_cards_until_end,first_mid
0,"[25, 36]",43,[92]
0,[32],41,[32]
0,"[4, 30]",43,"[50, 94]"
0,[1],38,[43]
0,"[66, 74, 96]",43,[16]
0,[76],43,[88]
0,[78],40,[97]
0,[34],42,[95]
0,[96],42,[29]
0,"[0, 62, 88]",41,"[66, 84]"
0,[77],44,[20]
0,"[34, 36, 92]",44,[54]
0,[74],40,"[58, 62]"
0,"[33, 43, 44]",45,[2]
0,[19],43,[21]
0,[61],44,[59]
0,"[27, 34]",44,"[50, 96]"
0,[15],41,[82]
0,[59],42,"[33, 49]"
0,[59],42,"[7, 51]"
0,[98],42,"[12, 90]"
0,[32],45,[60]
0,"[63, 81]",43,[65]
0,[31],45,[29]
0,"[53, 59]",47,[34]
0,[78],44,[67]
0,[27],43,[71]
0,[26],45,[66]
0,[45],43,[81]
0,[53],43,"[25, 69, 97]"
0,[39],41,[54]
0,[34],43,[75]
0,[19],43,[31]
0,"[74, 95]",44,[40]
0,[80],38,[59]
0,[24],40,"[24, 69]"
0,[81],43,[59]
0,[39],43,"[38, 41, 46, 78, 82]"
0,[50],41,"[27, 56]"
0,[52],43,[76]
0,[5],39,[32]
0,"[27, 59, 94]",46,[52]
0,[28],44,[22]
0,[56],45,"[13, 39]"
0,[21],40,"[21, 65]"
0,[27],44,[60]
0,[32],45,[32]
0,[2],42,[2]
0,[95],45,[63]
0,[56],38,[65]
0,[66],43,[13]
0,[88],43,[45]
0,[87],42,[60]
0,[52],42,[86]
0,[78],38,[64]
0,[32],42,[65]
0,[33],36,[21]
0,"[23, 96]",43,[29]
0,[8],44,"[50, 96]"
0,"[11, 32]",40,[13]
0,[9],45,[24]
0,[60],41,"[17, 18]"
0,[3],40,[28]
0,[99],41,"[82, 86]"
0,[61],42,[94]
0,[21],40,[89]
0,[74],40,"[15, 89]"
0,[44],40,[11]
0,[64],41,[90]
0,[42],43,"[18, 24]"
0,[59],44,[38]
0,[95],42,[41]
0,"[15, 65, 98]",45,"[50, 67]"
0,[4],44,[34]
0,[48],44,[29]
0,[81],38,[90]
0,"[87, 97]",45,[68]
0,[22],45,[9]
0,[63],45,"[12, 63]"
0,"[31, 41]",43,"[18, 34, 47]"
0,[9],42,[9]
0,"[12, 37]",46,[38]
0,[28],43,[26]
0,[78],43,[49]
0,[2],41,"[75, 79]"
0,[97],41,[88]
0,[93],44,[24]
0,[44],42,[73]
0,[75],39,[46]
0,[62],39,[40]
0,"[18, 34, 52, 76, 92]",45,[12]
0,"[6, 60]",42,[23]
0,[87],36,"[65, 79]"
0,[42],42,"[52, 73, 93]"
0,[58],40,[68]
0,"[21, 93]",44,[4]
0,[67],43,[73]
0,[43],37,[8]
0,[92],43,[60]
0,[39],42,[11]
0,[36],39,[64]
0,[24],42,[18]
0,[58],41,"[28, 40]"
0,[69],45,[90]
0,[7],42,[76]
0,[15],42,"[5, 81]"
0,[97],42,[38]
0,"[78, 91]",38,[64]
0,[49],43,[9]
0,"[24, 41]",45,[96]
0,"[39, 87]",44,[73]
0,[73],42,[31]
