num_game,winners,num_cards_until_end,first_mid
0,[19],37,[11]
0,"[2, 9, 20]",48,[10]
0,[17],43,[21]
0,[6],44,"[0, 16]"
0,[13],43,[20]
0,[10],44,[20]
0,[11],45,[21]
0,[8],43,[13]
0,"[6, 20, 21]",48,"[16, 18]"
0,[8],47,[15]
0,[3],46,[4]
0,[21],46,[6]
0,[2],42,[22]
0,"[8, 20]",44,"[3, 20]"
0,[2],40,[7]
0,[3],43,[20]
0,[8],48,[3]
0,"[6, 7]",48,[8]
0,[14],48,[16]
0,[17],48,"[10, 13]"
0,[9],45,[8]
0,[7],38,[19]
0,[1],48,[10]
0,[5],43,"[5, 8]"
0,[6],44,[19]
0,[6],44,"[3, 7, 10, 13]"
0,"[1, 3]",50,[21]
0,[10],44,[15]
0,[16],41,"[11, 17]"
0,[7],45,[6]
0,[1],46,[10]
0,"[7, 17]",45,"[2, 17, 21]"
0,[11],48,[11]
0,[10],48,[2]
0,"[9, 14, 20]",48,[4]
0,[20],46,[22]
0,[17],45,"[9, 18]"
0,"[5, 7]",46,[18]
0,"[14, 19, 22]",47,[16]
0,[11],48,"[8, 9]"
0,[8],38,[0]
0,"[4, 11]",49,[0]
0,[18],47,[7]
0,[15],45,[9]
0,"[6, 7]",46,[17]
0,[3],49,"[5, 8]"
0,[4],45,[4]
0,[11],45,[3]
0,[15],45,"[3, 10, 19]"
0,[16],44,[19]
0,[19],41,"[6, 9]"
0,[1],43,[1]
0,"[0, 5]",49,[4]
0,"[12, 16]",45,[12]
0,"[2, 10]",49,"[12, 17]"
0,[13],41,[15]
0,[10],45,[16]
0,[9],45,[20]
0,[3],40,[17]
0,[12],47,"[13, 17]"
0,[3],45,[0]
0,"[1, 5, 7]",50,[8]
0,[10],45,[11]
0,[4],47,[1]
0,[2],45,[20]
0,[1],46,[20]
0,[6],48,[14]
0,[8],45,"[10, 13]"
0,"[3, 5]",40,[15]
0,[12],46,[9]
0,[12],47,[22]
0,[20],41,[20]
0,[7],46,[18]
0,[15],48,[1]
0,[18],46,"[11, 13, 19]"
0,[15],45,[6]
0,[20],43,[2]
0,[18],49,[2]
0,"[14, 21]",46,[16]
0,"[2, 10]",47,[14]
0,[0],48,[18]
0,[14],42,"[3, 13, 14]"
0,[21],38,[21]
0,[15],46,[4]
0,[8],48,[18]
0,[20],46,[12]
0,[11],47,"[8, 14]"
0,[20],40,[18]
0,[2],43,[22]
0,[7],44,[18]
0,[8],49,[10]
0,[11],42,"[0, 18]"
0,[15],46,"[4, 7]"
0,[11],42,[4]
0,[1],49,[2]
0,[11],47,"[14, 21]"
0,[14],47,[1]
0,"[5, 18]",46,[22]
0,[22],46,[5]
0,[1],46,[8]
1,[16],48,[8]
1,[13],39,[16]
1,[2],46,[3]
1,[18],46,"[5, 17]"
1,[13],42,[1]
1,"[3, 4]",48,[6]
1,[4],45,[4]
1,[7],50,[8]
1,[13],40,[9]
1,[2],47,[14]
1,[14],41,[18]
1,"[4, 8]",48,[13]
1,[15],41,[18]
1,[21],42,[6]
1,[16],45,[2]
1,[2],46,[13]
1,"[6, 16]",47,"[7, 15]"
1,[4],46,"[6, 13]"
1,[7],43,"[7, 16]"
1,[15],46,[1]
1,"[3, 9]",44,"[6, 9, 13]"
1,"[4, 20]",47,"[4, 17]"
