num_game,winners,num_cards_until_end,first_mid
0,[10],42,[4]
0,[14],45,[19]
0,[26],41,[7]
0,"[10, 12]",48,[15]
0,"[0, 11]",48,[13]
0,[5],42,[16]
0,[9],43,[11]
0,[3],46,[15]
0,[22],46,[23]
0,[25],43,[15]
0,[20],43,[20]
0,[21],45,[27]
0,[0],46,[21]
0,[26],42,[8]
0,[8],46,[7]
0,[13],47,"[2, 16]"
0,"[3, 10]",48,[21]
0,[14],42,[25]
0,[9],44,[12]
0,[16],39,[12]
0,"[10, 17]",46,[14]
0,[1],44,[8]
0,"[11, 20]",49,[18]
0,[13],47,[23]
0,[24],45,[26]
0,[23],47,[25]
0,[12],45,[11]
0,"[9, 16, 22]",46,[17]
0,[11],46,[13]
0,[26],42,[4]
0,[4],42,"[1, 13]"
0,[1],41,[16]
0,[3],42,[14]
0,[6],45,[8]
0,"[13, 15, 22, 25]",48,[12]
0,[12],45,[5]
0,[18],43,[10]
0,"[14, 17, 26]",46,[2]
0,[23],46,[5]
0,[2],44,[7]
0,[26],45,"[2, 5, 17, 22]"
0,[5],45,[11]
0,[4],44,[25]
0,"[0, 6, 19]",47,[17]
0,[26],45,[9]
0,[11],44,[2]
0,[2],46,[6]
0,[10],45,[11]
0,[18],48,[12]
0,"[21, 26]",47,[7]
0,[18],41,[13]
0,[5],40,"[4, 5]"
0,[27],44,[18]
0,[4],45,[24]
0,[24],38,[4]
0,[11],44,"[4, 13]"
0,[1],44,[10]
0,[0],43,[2]
0,[25],46,[4]
0,[2],46,"[7, 8]"
0,"[5, 18]",46,[13]
0,[1],49,[2]
0,[18],47,"[17, 18]"
0,[13],45,[20]
0,[5],47,[1]
0,"[5, 6, 19, 22]",48,[23]
0,"[0, 25]",45,[1]
0,[12],43,"[3, 10]"
0,[25],44,[2]
0,[27],46,[13]
0,[27],46,[25]
0,[17],42,[26]
0,[25],47,[3]
0,"[1, 8]",46,[23]
0,[23],46,"[9, 15, 16]"
0,[13],47,[20]
0,[21],46,[21]
0,[6],44,[5]
0,"[9, 26, 27]",49,[24]
0,[2],40,[7]
0,[15],44,[9]
0,"[7, 8, 21]",46,"[3, 10]"
0,"[10, 23]",45,"[0, 24]"
0,[17],44,[17]
0,[18],46,"[5, 8]"
0,[20],48,[7]
0,[26],48,"[11, 25]"
0,[4],38,[4]
0,[20],48,[6]
0,"[22, 23]",44,[23]
0,[25],44,[20]
0,[17],44,[23]
0,[25],46,[2]
0,[9],46,[2]
0,[10],44,[2]
0,"[0, 5, 24]",48,[6]
