num_game,winners,num_cards_until_end,first_mid
0,[5],42,[5]
0,[8],42,[1]
0,[10],50,[3]
0,[4],49,"[2, 9]"
0,"[3, 7]",46,"[4, 5]"
0,[10],48,[9]
0,[7],45,[11]
0,[10],44,"[0, 9]"
0,[9],46,[10]
0,[2],48,[11]
0,[6],50,"[0, 1]"
0,[8],50,[1]
0,[1],45,[0]
0,[0],47,[0]
0,[5],43,[5]
0,"[0, 9]",49,[7]
0,"[6, 11]",47,[11]
0,[1],48,[1]
0,[2],47,[5]
0,[10],49,[9]
0,"[2, 3, 9]",50,[3]
0,[7],48,"[2, 5]"
0,[4],45,[0]
0,[9],49,[3]
0,[10],47,[5]
0,[7],49,"[0, 2, 10]"
0,"[6, 8]",48,[1]
0,[11],50,[1]
0,[10],40,[10]
0,"[4, 6]",50,[9]
0,[2],43,[9]
0,[1],46,[9]
0,[5],47,[9]
0,[6],45,[0]
0,[0],47,[1]
0,[2],49,"[6, 7]"
0,[7],45,[1]
0,[1],50,[0]
0,[10],47,[10]
0,"[10, 11]",48,[0]
0,[4],46,[3]
0,[7],50,"[2, 9]"
0,"[9, 11]",50,[8]
0,[9],48,[7]
0,[7],48,"[1, 8]"
0,[10],41,[3]
0,[11],45,[4]
0,[1],48,[11]
0,[6],48,[3]
0,[7],46,[2]
0,[7],47,[8]
0,[10],48,[10]
0,[8],47,[11]
0,"[0, 9]",51,"[3, 4]"
0,"[6, 7, 10]",49,[8]
0,[6],44,[8]
0,[5],50,[10]
0,[5],44,[6]
0,[5],47,[5]
0,[7],51,[1]
0,[1],45,[1]
0,[6],46,[9]
0,[10],48,[7]
0,[8],44,[9]
0,[6],45,[4]
0,"[5, 7, 10, 11]",51,[1]
0,"[3, 9]",48,[8]
0,[2],47,"[10, 11]"
0,[3],47,[7]
0,[6],48,[3]
0,"[5, 10]",50,[6]
0,[0],48,[8]
0,[3],50,[11]
0,[7],49,[11]
0,[11],39,[11]
0,[0],40,"[0, 1]"
0,[4],50,[4]
0,[9],40,"[3, 10]"
0,[0],48,[2]
0,[4],49,[8]
0,[11],46,[2]
0,[6],47,[3]
0,[1],44,[8]
0,[6],51,[5]
0,[9],47,[5]
0,[5],47,[2]
0,[8],44,[9]
0,[3],47,[8]
0,[8],48,[7]
0,[6],44,[6]
0,[5],43,[2]
0,[9],46,[9]
0,[2],43,[11]
0,[8],42,[1]
0,[10],47,[0]
0,[2],45,[3]
0,[8],47,[8]
0,[6],47,[1]
0,[7],50,[11]
0,[11],47,[6]
1,[4],43,"[3, 9]"
1,[8],49,[4]
1,"[7, 9]",48,"[7, 9]"
1,"[8, 10]",49,[5]
1,[6],49,[6]
1,[4],45,"[3, 6, 9]"
1,[11],40,[11]
1,[10],50,[0]
1,[1],50,[4]
1,"[2, 7, 9]",52,"[8, 11]"
1,[0],46,[8]
1,[7],44,[7]
1,[1],46,[9]
1,[1],47,[9]
1,[5],49,[5]
1,"[3, 9]",49,[9]
1,[3],51,[10]
1,[9],46,[0]
1,[6],47,[7]
1,[4],40,[4]
1,[0],49,[8]
1,[0],44,[11]
1,[7],43,[2]
1,[1],46,[7]
1,[9],45,"[3, 9]"
1,[1],43,[5]
1,[3],44,"[9, 10]"
1,[3],45,[3]
1,[0],46,[11]
1,[9],48,"[0, 5, 7]"
1,"[1, 3, 9]",50,[0]
1,"[0, 4, 7, 10]",51,[4]
1,[0],45,[0]
1,[0],45,"[1, 4]"
1,[9],50,[5]
1,[3],40,[8]
1,"[6, 9]",50,[0]
1,[1],47,[6]
1,[0],45,[11]
1,[7],45,[7]
1,[8],37,[8]
1,[8],44,[6]
1,[8],44,[10]
1,[9],48,[9]
1,[3],46,[0]
1,[10],50,[3]
1,[4],42,[11]
1,[2],47,[7]
1,[5],49,[10]
1,[1],47,[0]
1,[11],47,[9]
1,[5],47,[2]
1,[0],49,[3]
1,[11],48,[0]
1,[5],48,[3]
1,[5],49,"[2, 10]"
1,[3],48,[3]
1,[5],47,[7]
1,[8],46,[1]
1,"[0, 7]",50,[9]
1,[9],35,[6]
1,[8],44,[9]
1,[10],51,"[0, 7]"
1,"[0, 9]",49,[3]
1,[10],48,[7]
1,[1],45,[1]
1,[2],48,[6]
1,[3],48,"[0, 1]"
1,[4],49,[2]
1,[3],48,[6]
1,[11],47,[11]
1,"[7, 9]",50,[3]
1,[1],45,"[3, 11]"
1,[1],49,[11]
1,[11],48,"[5, 8, 10]"
1,[0],44,[0]
1,[3],49,[3]
1,[5],48,[2]
1,[8],47,[2]
1,[7],49,[0]
1,[8],50,[9]
1,[10],45,[4]
1,[3],49,[9]
1,[7],45,[8]
1,"[2, 10]",50,[3]
1,[11],44,[3]
1,[10],45,"[7, 8]"
1,[6],46,[1]
1,[4],43,"[2, 5]"
1,[8],48,[3]
1,[9],47,[2]
1,"[8, 10]",50,"[3, 9]"
1,[8],46,[6]
1,[1],42,[9]
1,[6],51,[11]
1,[8],47,"[4, 11]"
1,[6],43,[9]
1,[4],36,[9]
1,[8],49,"[7, 9]"
1,"[2, 9]",48,"[7, 9]"
2,"[2, 6]",48,[3]
2,[1],46,[5]
2,[7],43,"[7, 9]"
2,[0],47,"[7, 8]"
2,[7],50,[11]
2,[6],49,[10]
2,[3],49,[6]
2,[3],45,[5]
2,[8],50,[8]
2,[3],48,[4]
2,[6],45,[3]
2,"[3, 5]",48,[6]
2,"[0, 1]",49,[7]
2,[11],44,[6]
2,"[3, 8]",47,[5]
2,[0],49,[3]
2,[8],46,[9]
2,[9],48,[1]
2,[9],49,[3]
2,[4],47,[11]
2,[4],49,"[3, 8]"
2,[8],50,[7]
2,[10],42,[1]
2,"[1, 11]",50,[2]
2,[3],45,[10]
2,[6],49,"[6, 9]"
2,[10],47,[5]
2,[1],46,[0]
2,"[5, 8]",44,"[4, 5]"
2,[1],47,"[1, 3]"
2,"[1, 4]",51,"[4, 9]"
2,[9],42,[0]
2,[7],49,[0]
2,"[2, 5, 6, 8]",50,[2]
2,[0],50,[3]
2,[7],45,[2]
2,"[2, 6]",49,[2]
2,"[0, 1, 2]",51,"[2, 11]"
2,[4],46,[9]
2,[0],50,[0]
2,[8],49,"[0, 4, 6, 8]"
2,[10],50,[0]
2,"[1, 10]",49,[2]
2,"[9, 10]",45,[8]
2,[8],49,[10]
2,[8],52,[7]
2,[0],49,[4]
2,"[9, 10]",50,"[7, 9]"
2,[10],46,[8]
2,[2],37,[8]
2,"[9, 11]",50,[3]
2,[2],44,[2]
2,"[7, 8]",49,"[5, 8]"
2,[10],47,[4]
2,[0],48,"[0, 7]"
2,[9],40,[9]
2,[6],49,[8]
2,"[2, 3, 4, 5, 6]",52,[5]
2,[4],42,[6]
2,[3],47,[2]
2,[4],48,"[2, 5]"
2,[8],46,"[9, 11]"
2,[10],46,[10]
2,[1],48,"[0, 2, 6]"
2,[7],43,"[7, 10]"
2,"[9, 10]",48,[7]
2,[0],50,[9]
2,[9],46,[10]
2,[8],44,[8]
2,[6],45,[7]
2,[2],50,[0]
2,"[4, 11]",49,"[0, 8]"
2,[2],51,[3]
2,[10],44,[9]
2,[1],47,[7]
2,"[5, 6]",50,"[5, 7]"
2,"[2, 6]",47,[1]
2,[10],40,[2]
2,[10],50,[1]
2,"[1, 2]",51,[9]
2,[3],47,"[1, 4]"
2,[2],48,[10]
2,[6],51,[6]
2,"[9, 11]",50,[11]
2,[9],50,[4]
2,[5],47,[10]
2,[10],49,[4]
2,[5],50,[9]
2,[8],44,[6]
2,[6],51,[8]
2,[6],49,[0]
2,[3],47,[3]
2,[8],46,[9]
2,[3],44,[9]
2,[5],49,"[5, 7]"
2,[3],46,"[1, 2]"
2,[11],45,"[6, 9]"
2,[0],47,[8]
2,[5],46,[6]
2,"[7, 9]",47,[2]
3,"[1, 2]",50,[0]
3,[10],49,[10]
3,[4],40,[5]
3,[2],47,"[2, 4]"
3,[7],48,[1]
3,[7],45,[0]
3,[2],45,[8]
3,[1],43,[4]
3,[9],45,[2]
3,"[1, 2, 7]",48,[7]
3,"[5, 10]",48,[11]
3,[8],50,[8]
3,"[5, 6]",48,[4]
3,[3],46,[9]
3,[11],42,[2]
3,[2],48,[1]
