num_game,winners,num_cards_until_end,first_mid
0,[7],44,"[3, 7]"
0,[2],44,[10]
0,"[6, 10]",47,[0]
0,[10],49,[2]
0,[2],46,[10]
0,[2],50,[8]
0,[8],46,[0]
0,[9],46,[8]
0,[10],46,[10]
0,[1],44,[10]
0,[6],48,[5]
0,[4],45,[10]
0,[4],48,[2]
0,[8],43,[9]
0,[2],46,[2]
0,[9],50,[6]
0,[7],50,[5]
0,[9],47,[7]
0,[8],43,[1]
0,"[5, 9]",48,[3]
0,[3],45,[7]
0,[8],49,[3]
0,[0],49,[10]
0,[2],45,[0]
0,[0],41,[0]
0,[2],43,"[2, 3, 5]"
0,[1],48,[7]
0,[9],46,[10]
0,[9],39,[9]
0,[7],48,"[0, 1, 7]"
0,[0],49,[4]
0,[8],48,[4]
0,[7],46,"[4, 8]"
0,[3],42,"[1, 3, 8]"
0,[2],43,[5]
0,[9],49,[6]
0,"[6, 8]",47,[6]
0,[8],48,[3]
0,[4],48,[8]
0,[4],39,[9]
0,[0],46,[5]
0,[2],42,[2]
0,"[2, 5, 9]",52,[1]
0,[8],50,[6]
0,[9],49,"[0, 10]"
0,[4],50,[10]
0,[2],43,"[3, 6]"
0,"[1, 8]",47,[1]
0,[8],44,"[1, 9]"
0,"[5, 8]",48,[0]
0,[0],42,[4]
0,[10],48,[0]
0,[2],43,[1]
0,"[2, 3]",45,[2]
0,[6],50,[7]
0,"[5, 10]",49,[2]
0,[5],46,[0]
0,[0],47,[10]
0,[8],49,[10]
0,[2],49,[1]
0,[0],44,[6]
0,[7],46,[8]
0,[4],47,[4]
0,[1],48,[4]
0,[6],47,"[5, 9]"
0,[7],44,[2]
0,[8],48,[6]
0,[8],48,[0]
0,[9],47,[10]
0,[5],51,[5]
0,"[3, 4]",48,[10]
0,[9],42,[9]
0,[4],46,[0]
0,[0],49,[2]
0,"[7, 10]",49,[8]
0,[10],46,[9]
0,[7],48,[0]
0,"[9, 10]",45,[1]
0,"[0, 1]",48,[8]
0,[7],47,[0]
0,[0],48,[2]
0,"[1, 4]",51,"[3, 7]"
0,[1],45,[3]
0,[7],49,[7]
0,"[0, 1]",46,"[3, 7]"
0,[7],47,[6]
0,[5],48,[1]
0,[7],42,[9]
0,"[0, 1]",48,[10]
0,"[1, 2, 6]",48,[2]
0,[2],50,"[3, 4]"
0,[1],46,[5]
0,[8],48,[9]
0,[0],47,[10]
0,[5],46,[3]
0,[9],49,[7]
0,[3],48,[4]
0,[10],48,[7]
0,"[0, 1]",49,"[2, 3]"
0,"[6, 8]",48,[2]
1,[7],47,[9]
1,[7],46,[1]
1,[4],49,[9]
1,[5],48,[2]
1,[5],48,[8]
1,[3],46,[1]
1,[10],49,[6]
1,"[0, 1]",50,[1]
1,"[2, 10]",47,"[4, 10]"
1,[5],45,[10]
1,[10],44,"[0, 10]"
1,"[0, 2]",47,[3]
1,[2],46,[10]
1,[8],45,[0]
1,[10],49,"[2, 3, 8]"
1,[9],47,[1]
1,[1],48,[4]
1,[3],42,[10]
1,[2],38,[2]
1,[7],39,[7]
