num_game,winners,num_cards_until_end,first_mid
0,[11],43,[12]
0,"[5, 12]",48,[10]
0,[4],44,"[3, 5]"
0,"[2, 14]",49,[11]
0,[10],42,[0]
0,[5],45,[7]
0,"[1, 9]",49,[3]
0,[14],45,[1]
0,[6],47,[13]
0,[9],43,[14]
0,[15],46,[5]
0,"[2, 6]",49,[12]
0,[15],49,[9]
0,[12],48,"[9, 14]"
0,[5],42,"[5, 14]"
0,[13],47,[8]
0,[6],42,[4]
0,[11],47,[2]
0,[6],48,[5]
0,[14],43,[2]
0,"[9, 12]",46,[12]
0,[16],44,"[8, 10]"
0,[9],41,[8]
0,[5],41,[5]
0,[2],37,[10]
0,[12],45,"[6, 7, 10]"
0,[10],39,[14]
0,[4],46,"[2, 11]"
0,[8],43,[15]
0,[0],46,[13]
0,[11],47,[11]
0,[3],43,[3]
0,[8],45,"[2, 5]"
0,[14],48,"[1, 5, 14]"
0,[2],46,[11]
0,[15],45,[1]
0,[14],43,[1]
0,[2],45,[16]
0,"[2, 13]",48,[6]
0,"[0, 4, 13]",43,"[0, 1]"
0,"[1, 16]",47,[7]
0,"[10, 15]",48,[6]
0,[6],47,[7]
0,"[0, 13]",46,[10]
0,[9],47,[1]
0,[3],48,[5]
0,[14],40,[11]
0,[10],47,[6]
0,[9],45,[8]
0,[14],39,[3]
0,[14],48,"[7, 10]"
0,[12],46,"[9, 10, 14]"
0,[7],43,[14]
0,[1],42,[13]
0,[2],50,[13]
0,[0],48,[13]
0,[1],48,[2]
0,"[5, 10]",48,[2]
0,[16],47,[8]
0,[6],43,[9]
0,[7],49,"[5, 9]"
0,[2],45,[4]
0,"[6, 7]",46,[3]
0,[13],47,[8]
0,[11],42,"[13, 15]"
0,[16],49,[6]
0,[14],40,"[11, 14]"
0,[3],46,[6]
0,[1],48,[12]
0,"[3, 4]",50,[3]
0,[7],46,[2]
0,[11],49,"[1, 5]"
0,[15],46,[15]
0,[10],46,[12]
0,[9],47,[9]
0,[1],45,[6]
0,[2],48,[0]
0,"[6, 9]",46,"[7, 8]"
0,[7],46,[3]
0,[11],42,[11]
0,[2],39,[14]
0,"[1, 5]",48,[14]
0,[10],41,[13]
0,[0],41,[12]
0,"[2, 16]",49,[5]
0,[15],48,[11]
0,"[8, 16]",49,[1]
0,[16],47,[6]
0,[10],44,[9]
0,[10],47,"[5, 6]"
0,[13],44,[9]
0,[3],46,[7]
0,[11],46,[2]
0,[11],46,[16]
0,[15],47,[2]
0,[7],48,[7]
0,"[2, 11]",50,"[2, 11]"
0,[0],50,[14]
0,[5],39,"[5, 8, 9, 14]"
0,[8],49,[10]
1,[6],39,[10]
1,"[0, 1, 4, 10, 15]",50,[7]
1,[2],49,[12]
1,[14],45,[14]
1,[10],45,[10]
1,"[0, 6]",48,[9]
1,[2],46,"[4, 14]"
1,"[1, 13]",49,[6]
1,[15],44,[9]
1,[7],40,[7]
1,[5],36,[5]
1,"[0, 2, 10]",49,[11]
1,"[1, 2]",48,"[2, 7, 14]"
1,[6],48,[14]
1,[10],44,"[9, 11]"
1,[10],47,[16]
1,[9],44,[16]
1,[12],50,[8]
1,[12],49,[15]
1,[13],48,[9]
1,"[3, 5, 8]",47,[2]
1,[14],41,[7]
1,"[8, 15]",48,[7]
1,[5],36,[7]
1,"[1, 8, 15]",45,"[0, 2]"
1,[13],44,[16]
1,[16],46,[6]
1,[14],47,[10]
1,"[0, 2]",48,"[10, 12]"
1,[13],50,[12]
1,[4],47,[13]
1,[15],38,[15]
1,"[5, 12, 16]",50,[8]
1,[2],47,"[5, 11]"
1,[0],48,[0]
1,[0],42,[6]
1,[2],45,[1]
1,[14],47,[9]
1,[0],46,[15]
1,[7],42,[12]
1,"[5, 12]",43,[2]
1,[14],46,[2]
1,"[5, 8]",49,[6]
1,"[2, 5]",47,"[4, 10]"
1,[3],42,[13]
1,[16],43,[7]
1,[3],45,"[1, 8, 10, 11]"
1,[2],48,[11]
1,[13],46,[13]
1,[13],42,"[0, 7, 8, 15]"
1,[1],48,[0]
1,[11],46,[7]
1,"[2, 4, 13]",49,[11]
1,[16],47,[10]
1,"[13, 16]",48,"[4, 10]"
1,[0],47,[6]
1,[12],39,[16]
1,[7],40,[4]
1,[0],38,"[0, 6]"
1,[4],46,[12]
1,"[2, 13]",48,[16]
1,[12],45,[12]
1,"[1, 10]",50,[8]
1,[16],50,"[1, 11]"
1,[7],30,"[7, 16]"
1,[16],45,"[2, 6, 10]"
1,[0],46,[16]
1,[2],45,"[4, 11]"
1,[10],45,[6]
1,"[1, 2]",50,[12]
1,"[1, 8]",47,[7]
1,[14],47,[7]
1,[6],45,[16]
1,[16],47,[12]
1,"[6, 9]",46,[16]
1,[9],46,[7]
1,[0],47,"[2, 5]"
1,[0],46,[7]
1,[6],49,[12]
1,[12],45,"[7, 15]"
1,[9],46,[11]
1,[7],43,[12]
1,"[11, 13]",47,[14]
1,[10],47,[2]
1,"[0, 7, 10]",50,[8]
1,[7],49,[3]
1,[0],48,[9]
1,[16],45,[6]
1,"[7, 9]",47,[13]
1,[14],47,[0]
1,[4],49,[7]
1,[12],49,[10]
1,[11],47,[6]
1,[14],46,[8]
1,[9],46,[10]
1,[6],43,[16]
1,[16],44,[12]
1,[0],46,"[8, 12]"
1,"[10, 12]",48,"[13, 16]"
1,[0],46,[0]
2,[7],47,"[7, 13]"
2,[11],42,[7]
2,[1],46,[16]
2,[9],38,[15]
2,[3],46,[3]
2,[3],50,[10]
2,[12],48,"[0, 13]"
2,[8],45,[14]
2,[0],45,[0]
2,[15],51,[5]
2,"[9, 13]",47,[8]
2,[16],45,[16]
2,[16],46,[16]
2,[11],46,[2]
2,"[9, 10, 11, 15]",50,[15]
2,[9],47,"[8, 12]"
2,[12],50,"[4, 7]"
2,[11],42,[11]
2,[14],44,[3]
2,[5],48,[11]
2,"[8, 9, 12]",48,[0]
2,[2],49,"[7, 13]"
2,[16],45,[3]
2,[7],45,[7]
2,"[5, 12, 16]",50,[6]
2,"[4, 7, 13]",50,[12]
2,[11],48,[7]
2,[2],41,"[11, 15]"
2,"[10, 15]",48,[8]
2,[12],44,[7]
2,[15],46,[11]
2,[7],49,[3]
2,[2],44,[1]
2,[3],48,[8]
2,"[2, 16]",46,[8]
2,[0],46,[4]
2,[16],47,"[12, 14]"
2,[9],43,"[1, 6]"
2,"[10, 15]",48,"[1, 2, 10]"
2,[1],46,[11]
2,[14],47,[0]
2,[13],44,[5]
2,[2],46,"[2, 13]"
2,[4],47,[16]
2,[8],42,"[0, 4]"
2,[1],44,[14]
2,[16],45,[9]
2,[16],46,[5]
2,"[6, 12]",48,[14]
2,[12],44,[11]
2,[1],38,[14]
2,[8],40,[8]
2,[14],40,[7]
2,[2],46,[14]
2,[10],41,[0]
2,"[9, 16]",48,[0]
2,[15],41,[15]
2,[7],48,[13]
2,[9],43,[15]
2,[6],38,[6]
2,[6],45,[12]
2,"[8, 12]",50,[7]
2,"[3, 10, 15]",51,[1]
2,[14],44,[16]
2,[2],44,[14]
2,"[2, 9]",48,[10]
2,"[1, 9]",50,"[3, 9, 10]"
2,[4],45,[16]
2,"[2, 7, 13]",48,[0]
2,[2],49,[11]
2,[4],43,"[4, 14]"
2,[15],47,[1]
2,[9],46,[10]
2,"[8, 9, 12]",48,[6]
2,[5],47,[1]
2,[4],44,"[4, 11]"
2,[12],43,[2]
2,[1],37,[10]
2,[12],49,[5]
2,[13],41,[2]
2,"[2, 10, 14]",47,"[0, 4]"
2,[12],48,"[2, 4, 13]"
2,[10],48,[5]
2,"[1, 9]",47,"[13, 15]"
2,[3],48,[2]
2,[16],44,[16]
2,[2],42,[8]
2,[13],47,[16]
2,[3],47,[7]
2,[8],45,[9]
2,"[2, 12]",47,[16]
2,[15],47,[12]
2,"[4, 15]",49,[15]
2,[14],45,[10]
2,"[8, 16]",46,[16]
2,"[11, 15]",48,[15]
2,[16],46,[8]
2,[7],49,[2]
2,"[0, 5]",47,[6]
2,[5],49,"[2, 12]"
3,"[5, 15]",49,[13]
3,[7],40,[12]
3,[6],43,[14]
3,[3],41,[5]
3,[10],43,[2]
3,[3],42,"[3, 10]"
3,[2],47,[0]
3,[5],48,[12]
3,[15],47,[15]
3,[15],43,[5]
3,"[7, 11]",49,[3]
3,[5],48,[4]
3,[13],50,[5]
3,[13],45,[12]
3,[0],46,[8]
3,[3],42,[10]
3,"[1, 6, 14, 16]",47,[12]
3,[15],45,[5]
3,[5],46,[12]
3,[12],46,[3]
3,[0],46,"[11, 15]"
3,"[2, 16]",46,[8]
3,[5],43,[10]
3,"[4, 6, 16]",46,[5]
3,[14],48,"[4, 8]"
3,[13],46,"[4, 6, 16]"
