num_game,winners,num_cards_until_end,first_mid
0,"[2, 4]",39,[1]
0,[8],44,[5]
0,[10],48,[5]
0,"[7, 11]",45,"[3, 8, 10]"
0,[1],43,[10]
0,[11],39,[11]
0,[12],48,[0]
0,[6],45,"[7, 8]"
0,[0],47,[5]
0,[12],48,"[2, 4]"
0,"[1, 2]",48,[12]
0,[9],50,"[2, 9]"
0,[3],48,[3]
0,[9],44,[3]
0,[0],45,[7]
0,"[2, 5]",50,[6]
0,[3],45,[3]
0,[2],40,[12]
0,[11],44,[11]
0,[8],41,[12]
0,"[1, 6]",44,[11]
0,[0],46,[9]
0,[11],48,[5]
0,[5],47,[9]
0,[9],48,[0]
0,[0],43,[10]
0,[1],47,[6]
0,[1],46,[4]
0,[9],49,[11]
0,[2],43,[5]
0,[1],46,[6]
0,[11],49,[10]
0,[1],40,[4]
0,[6],41,[11]
0,[12],41,[12]
0,"[7, 12]",50,[3]
0,[1],45,[1]
0,[10],46,[1]
0,[10],46,[10]
0,"[0, 5]",46,"[7, 10]"
0,[6],47,[6]
0,[3],40,[12]
0,[6],50,[6]
0,[11],50,[7]
0,[12],45,[12]
0,[7],41,[12]
0,[10],46,[12]
0,[12],49,"[2, 5]"
0,[11],46,[11]
0,[10],49,[2]
0,[0],49,[6]
0,[8],42,[6]
0,[4],48,"[6, 9]"
0,[1],45,"[1, 12]"
0,[5],43,[5]
0,[9],49,"[7, 8]"
0,[12],47,[5]
0,[0],42,"[1, 2, 4, 6]"
0,[10],49,[5]
0,[0],46,[2]
0,[11],50,[10]
0,[11],48,[5]
0,[4],41,[7]
0,[6],46,[5]
0,"[0, 6]",49,[3]
0,[5],49,[4]
0,[5],47,"[2, 4]"
0,[0],48,"[2, 3]"
0,[1],43,"[2, 4, 7]"
0,[5],40,"[1, 11]"
0,[6],42,[6]
0,[8],45,[2]
0,[5],50,[12]
0,[5],46,[4]
0,[4],47,[11]
0,[2],49,[0]
0,"[6, 10]",49,[3]
0,[0],44,[1]
0,[11],47,[5]
0,[5],47,[9]
0,[0],47,[0]
0,[8],47,"[3, 8]"
0,[4],48,[10]
0,"[2, 4]",46,[9]
0,[10],49,[4]
0,[2],48,[7]
0,[6],47,[5]
0,[3],47,[1]
0,[10],46,[1]
0,"[1, 2]",48,[10]
0,[10],49,[11]
0,[3],45,[10]
0,[0],48,[3]
0,[10],46,[7]
0,[11],46,[7]
0,[11],48,[10]
0,[0],49,"[0, 3]"
0,[0],47,[9]
0,[7],51,[7]
0,[3],46,[8]
1,[5],36,[7]
1,[1],46,[3]
1,[1],46,[3]
1,[9],47,[1]
1,[6],46,[8]
1,[10],48,[4]
1,[4],42,[11]
1,[3],43,[7]
1,[7],50,[11]
1,[7],48,[11]
1,"[2, 12]",48,[6]
1,[11],37,"[2, 11]"
1,[1],48,[7]
1,[4],44,"[2, 5]"
1,[7],49,[11]
1,[1],51,[8]
1,[9],47,[1]
1,[6],47,[10]
1,"[4, 6, 9]",49,"[3, 6]"
1,"[5, 8]",46,[3]
1,[7],49,[4]
1,"[0, 4, 11, 12]",51,[9]
1,[11],43,[11]
1,[6],45,[3]
1,[6],44,[6]
1,[11],45,[4]
1,[1],48,[1]
1,[6],45,[7]
1,[3],45,[3]
1,[4],50,"[5, 8]"
1,[3],35,[5]
1,[4],47,[3]
1,[11],43,[11]
1,[12],45,[2]
1,[10],49,[12]
1,"[4, 7]",49,[4]
1,[11],49,[7]
1,[9],45,[9]
1,[3],47,[11]
1,[1],47,[3]
1,[7],46,"[1, 9]"
1,[2],48,"[2, 8, 9]"
1,[9],47,[6]
1,[2],48,[10]
1,"[1, 9]",49,[9]
1,[1],49,"[1, 9]"
1,[4],50,[4]
1,[6],42,[12]
1,"[3, 5, 7, 11]",52,[1]
1,"[4, 7]",50,"[4, 7]"
1,[3],46,[1]
1,[12],48,[3]
1,"[0, 4]",49,[0]
1,"[6, 7]",51,[4]
1,[2],44,[7]
1,"[9, 10]",48,[7]
1,[1],46,[5]
1,[1],50,[0]
1,[7],45,[0]
1,[1],43,[2]
1,[7],43,[2]
1,[7],45,[1]
1,[1],46,[3]
1,[10],48,[1]
1,[1],45,"[1, 9]"
1,[0],48,[9]
1,[3],48,[10]
1,"[1, 6]",45,[11]
1,[2],51,[9]
1,[11],45,[1]
1,[1],50,[10]
1,[5],45,[9]
1,[9],49,[11]
1,"[1, 5, 6]",50,[1]
1,"[4, 6]",47,[0]
1,"[1, 9]",48,[3]
1,"[3, 12]",46,[1]
1,"[3, 6]",42,[9]
1,"[5, 11]",48,"[4, 11]"
1,"[5, 10]",47,[7]
1,[10],48,[10]
1,[7],46,[4]
1,[1],43,[1]
1,[11],45,[11]
1,[7],45,[2]
1,[2],49,[10]
1,[0],49,[4]
1,"[1, 7]",45,[4]
1,[6],48,[7]
1,[4],46,[2]
1,"[0, 1]",49,[1]
1,[0],41,"[8, 10]"
1,[6],47,[2]
1,[1],47,"[0, 9, 10, 12]"
1,[1],47,[2]
1,[10],46,"[5, 6, 9]"
1,"[0, 12]",45,[8]
1,[1],44,[7]
1,"[0, 10]",42,[12]
1,[7],49,[2]
2,[2],49,[5]
2,[2],47,[0]
2,"[2, 6]",47,[1]
2,[6],47,[9]
2,[2],41,[2]
2,[6],48,[0]
2,[9],47,[1]
2,[5],46,[2]
2,[12],42,[9]
2,"[8, 12]",49,"[2, 6]"
2,[6],45,[4]
2,[5],48,[3]
2,[12],50,[6]
2,[10],45,"[1, 10]"
2,[4],47,"[7, 10]"
2,"[1, 4]",44,[7]
2,[12],50,[8]
2,[4],46,[4]
2,[1],46,[1]
2,[2],47,[2]
2,[9],44,"[8, 10]"
2,[11],41,[7]
2,[10],49,[5]
2,[5],49,"[3, 9]"
2,[3],50,[8]
2,[11],42,[3]
2,"[8, 9]",50,[7]
2,[11],44,[8]
2,"[8, 11]",48,[9]
2,[0],48,"[9, 12]"
2,[12],40,[3]
2,"[8, 11]",50,[9]
2,[4],44,[3]
2,[4],50,[3]
2,[8],50,[8]
2,[7],49,[7]
2,[3],50,[7]
2,[12],46,[0]
2,[12],48,[11]
2,[3],49,"[5, 6]"
2,[3],49,[2]
2,[4],48,[3]
2,[5],48,[5]
2,[11],47,[11]
2,[10],45,[8]
2,[4],45,[8]
2,"[0, 12]",50,[12]
2,[6],41,[12]
2,[1],46,[8]
2,"[0, 8, 9, 12]",50,[1]
2,[7],47,[2]
2,[1],46,[11]
2,[8],47,"[1, 11]"
2,[3],48,[7]
2,[0],48,[9]
2,"[0, 7, 8, 9, 12]",52,[6]
2,"[0, 8]",47,[3]
2,[8],48,[4]
2,[1],48,[8]
2,[6],44,[6]
2,[5],47,[6]
2,[6],47,[12]
2,[3],48,[1]
2,[5],50,[8]
2,[3],44,"[8, 11]"
2,[4],47,[3]
2,[10],47,[7]
2,"[0, 8, 11]",51,[5]
2,[10],49,[4]
2,[0],42,[3]
2,[8],47,[4]
2,[3],46,[10]
2,[7],46,[10]
2,[2],49,[10]
2,[1],47,[8]
2,[11],42,[10]
2,[7],48,[8]
2,"[4, 8]",46,[4]
2,[3],44,"[4, 10]"
2,"[11, 12]",49,[11]
2,"[5, 6]",46,"[1, 4, 10]"
2,"[2, 6]",49,[12]
2,[2],46,"[2, 9]"
2,[10],48,[11]
2,[11],49,[4]
2,[5],48,[3]
2,"[6, 9]",50,"[0, 3]"
2,[5],41,[5]
2,[6],40,[4]
2,[12],47,[8]
2,[5],49,"[3, 5]"
2,[5],47,[5]
2,[0],50,[7]
2,[2],42,"[2, 5]"
2,[4],43,[6]
2,[8],47,"[2, 5]"
2,"[1, 10, 11]",50,[8]
2,[7],41,"[2, 7]"
2,[1],46,[5]
2,[12],44,"[9, 12]"
3,[12],44,[1]
3,[5],49,"[1, 11]"
3,[12],45,[9]
3,[5],48,[9]
3,[0],44,[9]
3,[6],47,[9]
3,[1],47,[7]
3,[10],43,[10]
3,"[6, 10]",51,"[1, 11]"
3,"[11, 12]",48,"[4, 11]"
3,[7],49,[6]
3,[8],49,[7]
3,[7],46,"[7, 9]"
3,[3],47,[12]
3,[9],43,"[0, 8]"
3,"[0, 7, 9]",52,[9]
3,[6],38,[3]
3,[8],46,[4]
3,[2],45,[6]
3,[5],45,"[0, 6]"
3,[5],42,[7]
3,"[3, 5, 11, 12]",48,[0]
3,[2],44,[12]
3,"[2, 4]",45,[4]
3,"[4, 9]",48,[1]
3,[3],46,[7]
3,"[7, 10]",44,"[6, 12]"
3,[1],50,[12]
3,"[8, 10]",48,[12]
3,[4],44,[5]
3,"[7, 12]",45,[12]
3,[6],44,[10]
3,[6],47,[6]
3,[4],49,[8]
3,"[7, 9]",48,[2]
3,[4],47,[4]
3,[10],49,[5]
3,[3],46,[2]
3,"[0, 2, 4]",49,"[0, 2]"
3,[0],46,[7]
3,[2],48,"[4, 10, 11]"
3,"[1, 5]",47,[5]
3,[6],41,[6]
3,[12],48,[4]
3,[11],48,[11]
3,[9],44,[9]
3,"[1, 6, 11]",49,[1]
3,[12],48,[12]
3,[2],47,[7]
3,[1],49,[3]
3,[0],41,"[8, 10]"
3,[7],44,[5]
3,"[5, 7, 10, 11]",48,"[2, 12]"
3,[3],44,[6]
3,[8],48,[12]
3,"[1, 6, 8]",47,[3]
3,[7],48,[12]
3,"[4, 11]",47,[12]
3,[9],48,[2]
3,[2],39,[10]
3,"[2, 12]",46,[3]
3,[1],48,[12]
3,[12],50,[7]
3,"[5, 12]",51,[10]
3,[5],49,[11]
3,[2],46,[2]
3,[2],45,[9]
3,"[2, 3]",45,[7]
3,[7],49,[9]
3,[9],47,"[2, 12]"
3,[6],44,[5]
3,[0],47,[2]
3,"[7, 9]",48,[9]
3,[9],45,[4]
3,[3],50,[2]
3,"[1, 7]",51,[12]
3,[0],45,"[6, 8]"
3,[4],46,[12]
3,[2],50,[0]
3,[0],45,[0]
3,"[3, 7, 9]",51,[0]
3,[5],44,[2]
3,[0],48,[7]
3,[4],47,[9]
3,[3],47,"[3, 12]"
3,[10],37,[8]
3,"[0, 10]",47,[10]
3,[5],45,[5]
3,"[1, 3, 7, 9]",51,[4]
3,[10],45,[8]
3,"[1, 7]",46,[7]
3,[5],47,[3]
3,[3],49,[3]
3,[8],47,[6]
3,[0],47,[5]
3,"[0, 10]",49,[10]
3,[6],46,"[5, 6]"
3,"[6, 8]",50,[6]
3,[2],47,[9]
3,[3],48,"[1, 5, 7]"
4,"[0, 6]",44,[3]
4,[11],50,[10]
4,[3],48,[6]
